Metric,Original Model,200 Trees,200 Trees + Depth 10,GridSearch Best
MAE,25.450433729101043,25.407168645505212,25.250833994480743,25.25280857926001
RMSE,35.93435947447518,35.84679420775792,35.590149724307835,35.602705837480904
R²,0.7173700821322665,0.718745835628744,0.7227586873925905,0.7225630328431623
